Gene	HGNC_ID	ENTREZ_ID
AARS	HGNC:20
ABCE1	HGNC:69
ABCF1	HGNC:70
ACTB	HGNC:132
ACTL6A	HGNC:24124
ACTR10	HGNC:17372
ACTR2	HGNC:169
ADSL	HGNC:291
ADSS	HGNC:292
AHCY	HGNC:343
ALG1	HGNC:18294
ALG14	HGNC:28287
ALG2	HGNC:23159
ANAPC2	HGNC:19989
ANAPC4	HGNC:19990
ANAPC5	HGNC:15713
AQR	HGNC:29513
ARCN1	HGNC:649
ARIH1	HGNC:689
ARL2	HGNC:693
ATP2A2	HGNC:812
ATP5A1	HGNC:823
ATP5B	HGNC:830
ATP5C1	HGNC:833
ATP5D	HGNC:837
ATP5J2-PTCD1	N/A
ATP5L	HGNC:14247
ATP5O	HGNC:850
ATP6V0B	HGNC:861
ATP6V0C	HGNC:855
ATP6V1A	HGNC:851
ATP6V1D	HGNC:13527
ATP6V1E1	HGNC:857
ATR	HGNC:882
AURKB	HGNC:11390
BANF1	HGNC:17397
BIRC5	HGNC:593
BUB1B	HGNC:1149
BUB3	HGNC:1151
BUD31	HGNC:29629
BYSL	HGNC:1157
C10orf2	HGNC:1160
C1orf109	HGNC:26039
C21orf59	HGNC:1301
C3orf17	HGNC:24496
C9orf114	HGNC:26933
CCDC84	HGNC:30460
CCDC94	HGNC:25518
CCNA2	HGNC:1578
CCNH	HGNC:1594
CCNK	HGNC:1596
CCT2	HGNC:1615
CCT3	HGNC:1616
CCT4	HGNC:1617
CCT5	HGNC:1618
CCT6A	HGNC:1620
CCT7	HGNC:1622
CCT8	HGNC:1623
CDC123	HGNC:16827
CDC16	HGNC:1720
CDC20	HGNC:1723
CDC27	HGNC:1728
CDC37	HGNC:1735
CDC5L	HGNC:1743
CDC73	HGNC:16783
CDK1	HGNC:1722
CDK7	HGNC:1778
CDK9	HGNC:1780
CDT1	HGNC:24576
CEBPZ	HGNC:24218
CENPA	HGNC:1851
CENPC	N/A
CFL1	HGNC:1874
CHAF1A	HGNC:1910
CHAF1B	HGNC:1911
CHEK1	HGNC:1925
CHERP	HGNC:16930
CHMP2A	HGNC:30216
CHMP6	HGNC:25675
CIAO1	HGNC:14280
CINP	HGNC:23789
CIRH1A	HGNC:1983
CKAP5	HGNC:28959
CLNS1A	HGNC:2080
CLP1	HGNC:16999
CLTC	HGNC:2092
CMPK1	HGNC:18170
CMTR1	N/A
CNOT3	HGNC:7879
COA5	HGNC:33848
COPA	HGNC:2230
COPB1	HGNC:2231
COPB2	HGNC:2232
COPS3	HGNC:2239
COPS6	HGNC:21749
COPZ1	HGNC:2243
COQ4	HGNC:19693
COX10	HGNC:2260
COX11	HGNC:2261
COX15	HGNC:2263
COX4I1	HGNC:2265
COX5B	HGNC:2269
COX6B1	HGNC:2280
CPSF1	HGNC:2324
CPSF2	HGNC:2325
CPSF3	HGNC:2326
CPSF4	HGNC:2327
CRNKL1	HGNC:15762
CSE1L	HGNC:2431
CTDP1	HGNC:2498
CTPS1	HGNC:2519
CTR9	HGNC:16850
CYCS	HGNC:19986
DAD1	HGNC:2664
DBR1	HGNC:15594
DCTN5	HGNC:24594
DDB1	HGNC:2717
DDOST	HGNC:2728
DDX10	HGNC:2735
DDX18	HGNC:2741
DDX20	HGNC:2743
DDX21	HGNC:2744
DDX27	HGNC:15837
DDX41	HGNC:18674
DDX47	HGNC:18682
DDX49	HGNC:18684
DDX55	HGNC:20085
DDX56	HGNC:18193
DGCR8	HGNC:2847
DHODH	HGNC:2867
DHPS	HGNC:2869
DHX15	HGNC:2738
DHX33	HGNC:16718
DHX37	HGNC:17210
DHX8	HGNC:2749
DHX9	HGNC:2750
DIEXF	HGNC:28440
DIMT1	HGNC:30217
DIS3	HGNC:20604
DKC1	HGNC:2890
DLST	HGNC:2911
DMAP1	HGNC:18291
DNAJA3	HGNC:11808
DNAJC9	HGNC:19123
DNM2	HGNC:2974
DNMT1	HGNC:2976
DOLK	HGNC:23406
DONSON	HGNC:2993
DPAGT1	HGNC:2995
DTL	HGNC:30288
DTYMK	HGNC:3061
DYNC1I2	HGNC:2964
ECD	HGNC:17029
EEF2	HGNC:3214
EFTUD2	HGNC:30858
EIF2B1	HGNC:3257
EIF2B3	HGNC:3259
EIF2B5	HGNC:3261
EIF2S1	HGNC:3265
EIF2S2	HGNC:3266
EIF2S3	HGNC:3267
EIF3A	HGNC:3271
EIF3B	HGNC:3280
EIF3C	HGNC:3279
EIF3D	HGNC:3278
EIF3G	HGNC:3274
EIF3I	HGNC:3272
EIF4A3	HGNC:18683
EIF5A	HGNC:3300
EIF5B	HGNC:30793
EIF6	HGNC:6159
ELAC2	HGNC:14198
ELL	HGNC:23114
EPRS	HGNC:3418
ERCC2	HGNC:3434
ERCC3	HGNC:3435
ERH	HGNC:3447
EXOSC2	HGNC:17097
EXOSC3	HGNC:17944
EXOSC4	HGNC:18189
EXOSC6	HGNC:19055
EXOSC7	HGNC:28112
EXOSC8	HGNC:17035
FAM96B	HGNC:24261
FARS2	HGNC:21062
FARSA	HGNC:3592
FARSB	HGNC:17800
FAU	HGNC:3597
FNTA	HGNC:3782
FNTB	HGNC:3785
FTSJ3	HGNC:17136
GABPA	HGNC:4071
GAPDH	HGNC:4141
GART	HGNC:4163
GEMIN5	HGNC:20043
GEMIN8	HGNC:26044
GFM1	HGNC:13780
GGPS1	HGNC:4249
GINS2	HGNC:24575
GINS3	HGNC:25851
